user_id,day,login_hour,files_accessed,data_transfer_mb,failed_logins,after_hours_access,usb_events,email_recipients_count
U001,16,8,8,12.85,0,0,0,4
U001,17,9,25,9.69,1,0,0,8
U001,18,7,18,9.66,1,0,0,3
U001,19,8,20,16.82,0,0,0,7
U001,20,8,12,22.52,0,0,0,5
U001,21,9,19,25.15,0,0,0,9
U001,22,8,25,0.0,1,0,0,10
U001,23,9,0,15.47,1,0,0,7
U001,24,8,10,12.78,0,0,0,8
U001,25,8,25,37.24,1,0,0,10
U001,26,9,18,27.01,2,0,0,6
U001,27,9,32,20.18,1,0,0,8
U001,28,9,16,25.88,0,0,0,15
U001,29,8,30,12.44,0,0,0,0
U001,30,9,18,33.39,2,0,0,0
U001,31,8,24,9.68,1,0,0,6
U001,32,8,21,15.46,0,0,0,5
U001,33,10,23,17.01,1,0,1,11
U001,34,9,16,15.9,1,0,0,6
U001,35,9,34,11.08,0,0,0,3
U001,36,7,1,24.36,1,1,1,17
U001,37,10,24,24.87,0,0,0,9
U001,38,10,15,8.08,2,0,0,7
U001,39,11,24,13.67,0,0,0,7
U001,40,7,6,33.3,0,0,0,8
U001,41,7,17,6.19,0,0,0,7
U001,42,8,25,47.58,0,0,0,12
U001,43,8,18,21.86,1,0,0,8
U001,44,8,18,13.87,0,0,0,6
U001,45,10,0,0.0,1,0,0,3
U001,46,7,13,6.39,0,0,0,14
U001,47,8,20,12.05,1,1,0,5
U001,48,8,23,4.84,0,0,0,10
U001,49,8,21,44.76,0,0,1,4
U001,50,7,34,4.57,0,0,0,5
U001,51,7,33,0.0,0,0,0,14
U001,52,9,19,17.18,0,0,0,13
U001,53,7,25,24.23,2,0,0,7
U001,54,7,24,49.76,1,0,0,10
U001,55,8,27,45.03,0,0,0,11
U001,56,9,0,17.01,1,0,0,8
U001,57,7,9,8.27,1,0,0,11
U001,58,8,21,30.3,0,0,0,2
U001,59,9,14,21.36,1,0,0,14
U001,60,9,24,6.71,1,0,0,11
U002,1,8,31,37.91,1,0,1,1
U002,2,9,29,33.36,0,0,1,0
U002,3,8,27,39.63,1,1,0,1
U002,4,8,23,55.37,1,0,1,4
U002,5,6,30,15.51,1,0,0,6
U002,6,10,27,53.59,1,0,0,1
U002,7,9,25,57.1,0,0,0,2
U002,8,7,38,63.64,0,0,0,3
U002,9,7,15,0.0,1,0,1,1
U002,10,8,17,77.05,0,0,0,2
U002,11,8,29,39.95,0,0,0,9
U002,12,8,19,25.54,2,0,2,3
U002,13,10,20,19.36,1,0,0,5
U002,14,11,34,19.22,1,0,0,4
U002,15,8,28,46.74,0,0,0,8
U002,16,9,16,19.21,0,0,0,4
U002,17,8,36,81.04,1,0,0,3
U002,18,6,29,39.05,0,0,1,4
U002,19,8,33,53.16,1,0,1,7
U002,20,7,17,21.99,1,0,0,5
U002,21,8,25,9.68,0,0,1,5
U002,22,8,39,32.9,0,0,0,4
U002,23,8,29,31.22,1,0,0,3
U002,24,9,11,24.38,1,1,0,5
U002,25,8,6,48.09,0,0,1,6
U002,26,6,23,46.55,0,0,0,6
U002,27,6,33,46.58,0,0,0,4
U002,28,9,23,21.6,0,0,0,2
U002,29,8,35,40.94,1,0,0,5
U002,30,7,28,57.58,0,0,0,5
U002,31,7,42,33.91,0,0,0,1
U002,32,7,34,29.56,0,0,0,4
U002,33,6,32,49.07,1,1,0,5
U002,34,8,21,78.74,1,0,0,4
U002,35,8,6,30.11,0,0,0,2
U002,36,8,15,52.8,0,0,0,5
U002,37,9,33,35.74,1,0,0,2
U002,38,7,35,36.75,1,0,0,6
U002,39,10,27,22.69,1,0,1,3
U002,40,8,20,34.2,0,0,0,8
U002,41,6,30,25.42,0,0,0,4
U002,42,8,31,25.77,0,0,1,7
U002,43,8,35,65.56,0,0,1,3
U002,44,9,10,61.75,1,0,0,7
U002,45,8,22,4.35,1,0,0,4
U002,46,9,9,27.99,2,0,0,1
U002,47,9,18,6.08,0,0,0,3
U002,48,9,20,6.07,0,0,0,3
U002,49,9,36,56.94,1,0,1,4
U002,50,7,20,35.53,1,1,0,2
U002,51,9,24,36.09,0,0,2,0
U002,52,8,29,32.19,0,0,0,6
U002,53,9,15,45.89,2,0,0,2
U002,54,9,23,44.69,1,0,0,2
U002,55,11,24,38.34,0,0,0,6
U002,56,7,31,14.64,0,0,0,7
U002,57,8,28,40.55,0,0,1,5
U002,58,9,14,45.61,1,0,1,5
U002,59,8,25,14.52,0,0,0,1
U002,60,6,22,10.91,0,0,0,3
U003,1,8,36,111.91,0,0,0,3
U003,2,8,1,121.51,0,0,0,0
U003,3,10,23,107.3,0,0,0,5
U003,4,9,20,90.9,0,0,0,1
U003,5,9,28,110.6,0,0,0,0
U003,6,9,13,71.54,0,0,0,6
U003,7,7,19,91.19,1,0,0,6
U003,8,10,16,116.56,1,0,0,5
U003,9,7,31,65.86,1,0,1,2
U003,10,8,17,74.31,0,0,0,11
U003,11,9,19,116.94,0,0,0,9
U003,12,9,39,74.97,0,0,0,9
U003,13,9,10,58.01,0,0,1,6
U003,14,8,8,79.46,0,1,1,3
U003,15,10,16,101.17,0,0,0,11
U003,16,11,19,77.01,0,0,0,4
U003,17,8,21,72.67,0,0,0,4
U003,18,10,21,69.0,2,0,0,3
U003,19,9,26,76.1,0,0,1,5
U003,20,8,7,77.02,1,0,0,3
U003,21,8,0,99.64,1,0,2,12
U003,22,8,26,103.36,0,0,0,6
U003,23,10,7,92.18,0,0,0,4
U003,24,12,12,78.14,0,0,0,6
U003,25,8,13,92.77,1,0,0,6
U003,26,6,18,97.46,0,0,0,2
U003,27,9,29,94.67,2,0,0,3
U003,28,9,8,97.86,0,0,2,2
U003,29,10,1,38.75,0,0,0,7
U003,30,8,4,116.59,0,0,0,3
U003,31,8,0,80.3,0,0,0,5
U003,32,8,15,51.04,1,0,0,11
U003,33,8,7,88.02,0,0,0,10
U003,34,9,17,115.24,0,0,1,0
U003,35,9,23,120.79,1,0,0,8
U003,36,9,8,101.12,0,0,0,2
U003,37,9,11,74.99,0,0,0,8
U003,38,8,20,116.13,0,1,0,6
U003,39,10,27,65.68,0,0,0,2
U003,40,10,35,78.28,2,0,0,7
U003,41,10,20,73.93,0,0,0,5
U003,42,8,0,134.15,1,0,0,1
U003,43,9,13,63.86,1,0,1,7
U003,44,10,7,116.71,0,0,0,4
U003,45,9,3,99.87,1,0,0,2
U003,46,10,22,139.2,0,0,0,7
U003,47,10,18,118.29,0,0,0,6
U003,48,10,6,118.25,0,0,0,3
U003,49,8,19,116.36,0,1,0,2
U003,50,7,5,82.2,1,0,0,1
U003,51,1,159,345.62,3,1,1,75
U003,52,18,162,446.95,3,1,3,36
U003,53,19,176,315.4,3,0,4,33
U003,54,21,125,357.87,4,0,2,47
U003,55,23,149,453.62,2,0,2,34
U003,56,22,101,274.23,2,0,0,47
U003,57,21,102,414.02,4,1,2,44
U003,58,18,147,390.59,3,1,0,32
U003,59,22,164,383.42,3,1,1,35
U003,60,23,129,376.34,2,0,2,57
U004,1,10,27,43.54,1,0,0,8
U004,2,7,47,65.59,0,0,0,9
U004,3,9,28,61.72,2,0,0,9
U004,4,6,38,88.74,0,0,0,7
U004,5,9,33,67.88,1,0,0,8
U004,6,7,44,78.58,1,0,0,11
U004,7,6,40,67.94,0,0,0,8
U004,8,10,32,40.16,0,0,0,7
U004,9,9,24,58.24,0,0,0,7
U004,10,10,50,76.39,0,0,0,7
U004,11,8,24,78.67,0,0,1,6
U004,12,7,42,80.77,0,0,0,9
U004,13,9,35,68.87,1,0,0,9
U004,14,8,40,53.58,0,0,1,8
U004,15,8,32,62.62,0,0,1,7
U004,16,7,41,67.07,1,1,1,8
U004,17,9,27,72.45,0,0,0,7
U004,18,7,29,64.57,0,0,0,8
U004,19,9,24,69.77,0,0,0,9
U004,20,7,31,65.61,0,0,0,9
U004,21,8,40,72.38,0,0,0,11
U004,22,9,48,63.2,1,0,0,9
U004,23,6,42,53.59,0,0,0,8
U004,24,8,39,65.3,1,0,0,10
U004,25,7,9,62.24,0,0,0,5
U004,26,8,17,61.21,1,0,0,7
U004,27,8,31,55.75,1,0,0,8
U004,28,10,33,86.87,3,0,0,8
U004,29,6,13,74.45,1,0,0,8
U004,30,7,35,83.52,0,0,0,9
U004,31,6,30,82.46,0,0,0,7
U004,32,8,38,52.14,0,1,0,10
U004,33,8,42,69.23,0,0,0,9
U004,34,6,34,64.41,0,0,0,8
U004,35,6,41,74.73,1,0,0,10
U004,36,6,43,76.42,0,0,1,7
U004,37,7,42,74.01,0,0,0,6
U004,38,6,50,61.86,0,0,0,6
U004,39,10,49,58.27,0,0,0,8
U004,40,6,47,86.76,0,0,0,7
U004,41,9,33,59.73,0,0,0,8
U004,42,6,29,63.71,1,0,1,8
U004,43,6,17,70.94,0,0,0,5
U004,44,9,39,43.89,0,0,0,7
U004,45,6,24,65.51,0,0,0,9
U004,46,11,23,35.42,3,0,0,8
U004,47,11,46,59.6,0,0,0,6
U004,48,8,38,77.4,0,0,0,8
U004,49,6,43,63.35,2,0,1,6
U004,50,6,24,72.23,0,0,0,7
U004,51,9,36,64.16,1,0,0,8
U004,52,10,31,63.23,0,0,1,9
U004,53,11,30,75.85,0,0,0,9
U004,54,6,43,75.86,0,1,0,9
U004,55,9,41,69.69,1,0,0,7
U004,56,8,45,64.49,0,0,0,7
U004,57,7,27,66.04,2,0,1,8
U004,58,7,31,81.69,1,0,0,8
U004,59,6,25,55.87,1,0,0,7
U004,60,7,40,46.91,1,0,0,8
U005,1,10,12,0.0,0,0,0,7
U005,2,8,35,46.02,1,0,0,8
U005,3,9,21,33.64,0,0,0,3
U005,4,9,26,47.61,0,0,0,4
U005,5,10,17,24.63,0,0,1,6
U005,6,9,28,46.13,0,0,0,6
U005,7,9,48,56.35,1,1,0,4
U005,8,10,40,35.27,0,0,0,7
U005,9,9,28,39.82,0,0,0,6
U005,10,9,13,26.77,1,0,1,6
U005,11,10,14,48.81,0,0,0,6
U005,12,9,22,52.16,0,0,0,8
U005,13,9,33,29.33,0,0,0,8
U005,14,8,28,12.28,0,0,0,4
U005,15,8,24,68.37,0,0,1,8
U005,16,8,38,44.2,0,0,0,8
U005,17,9,28,47.98,0,0,0,5
U005,18,9,27,36.48,1,0,0,7
U005,19,9,24,23.42,0,0,0,5
U005,20,9,29,16.06,0,0,0,5
U005,21,9,42,38.65,1,0,0,6
U005,22,9,13,30.67,0,0,0,7
U005,23,8,25,34.55,0,0,0,8
U005,24,9,22,31.44,0,0,0,9
U005,25,9,13,40.39,0,0,0,7
U005,26,8,31,62.84,0,0,1,4
U005,27,9,26,24.87,0,0,0,7
U005,28,10,39,37.31,1,0,0,4
U005,29,8,33,46.58,1,0,0,6
U005,30,9,21,22.67,0,0,2,7
U005,31,9,41,54.23,1,0,0,5
U005,32,10,20,39.8,0,0,0,3
U005,33,9,16,28.21,2,0,0,8
U005,34,9,55,22.54,0,0,2,8
U005,35,9,43,13.33,0,0,0,6
U005,36,9,31,34.17,0,0,1,8
U005,37,10,34,20.44,1,0,0,7
U005,38,9,25,38.96,0,0,0,6
U005,39,9,15,19.34,0,0,1,5
U005,40,10,35,30.42,0,0,0,9
U005,41,9,31,45.17,1,0,0,6
U005,42,10,8,25.48,0,0,0,7
U005,43,9,42,43.27,0,0,0,3
U005,44,9,16,1.11,2,0,0,7
U005,45,9,46,37.28,1,0,0,8
U005,46,9,32,15.5,2,0,0,4
U005,47,9,45,33.93,0,0,0,8
U005,48,9,42,33.15,0,0,1,7
U005,49,10,27,30.62,1,0,0,7
U005,50,9,17,43.89,1,0,0,6
U005,51,10,47,35.0,0,0,0,5
U005,52,8,38,25.04,0,0,0,10
U005,53,10,19,27.85,0,0,0,6
U005,54,10,42,28.88,1,0,0,4
U005,55,9,8,15.08,2,0,0,7
U005,56,10,38,7.71,0,0,0,5
U005,57,8,25,47.52,2,0,0,4
U005,58,9,23,57.84,1,0,0,9
U005,59,10,37,11.57,0,0,2,8
U005,60,9,30,39.57,1,0,0,4
U006,1,9,28,71.27,2,0,0,4
U006,2,10,19,78.68,0,0,1,9
U006,3,9,13,121.99,1,0,0,15
U006,4,10,37,62.19,0,0,0,7
U006,5,10,47,65.09,2,0,0,11
U006,6,8,33,113.87,1,0,0,12
U006,7,10,28,105.46,0,0,0,18
U006,8,10,38,131.56,0,0,0,7
U006,9,11,22,65.83,0,1,0,13
U006,10,9,31,98.63,0,0,0,10
U006,11,8,40,72.44,0,0,0,9
U006,12,9,32,62.3,0,0,0,11
U006,13,12,44,46.26,1,0,0,5
U006,14,8,15,96.54,1,0,0,10
U006,15,10,64,88.23,1,0,0,9
U006,16,9,48,52.31,1,0,0,11
U006,17,9,27,103.09,0,0,0,13
U006,18,9,35,60.21,0,0,0,9
U006,19,8,24,104.2,0,0,0,17
U006,20,10,42,79.27,0,0,0,5
U006,21,9,32,56.65,0,0,0,11
U006,22,9,16,76.03,0,0,0,10
U006,23,12,18,115.02,0,1,0,13
U006,24,10,32,88.08,0,0,0,11
U006,25,8,28,59.71,0,0,0,10
U006,26,9,41,91.37,0,0,0,10
U006,27,10,25,33.42,0,0,0,12
U006,28,9,24,122.29,1,0,0,9
U006,29,10,18,74.33,1,0,0,10
U006,30,11,35,97.6,0,0,0,12
U006,31,11,38,68.43,1,0,0,8
U006,32,10,47,98.41,1,0,0,11
U006,33,11,28,58.55,0,0,0,7
U006,34,10,29,45.74,0,0,0,10
U006,35,10,42,63.19,1,0,1,13
U006,36,8,21,93.84,0,0,0,6
U006,37,10,37,96.66,0,0,0,13
U006,38,9,9,87.8,0,0,0,4
U006,39,10,27,67.8,1,0,0,12
U006,40,10,37,54.42,0,0,0,9
U006,41,8,38,49.91,0,0,0,12
U006,42,10,43,128.41,1,0,0,13
U006,43,11,25,46.18,1,0,1,8
U006,44,8,32,106.57,1,0,0,12
U006,45,11,25,53.39,2,0,0,15
U006,46,10,43,47.22,0,0,0,13
U006,47,10,21,127.79,1,0,0,8
U006,48,10,45,99.93,1,0,0,12
U006,49,7,27,85.15,0,0,0,6
U006,50,8,43,59.53,1,0,0,9
U006,51,8,38,94.63,0,0,1,7
U006,52,10,40,78.43,1,0,0,11
U006,53,10,34,62.98,0,0,0,9
U006,54,9,27,73.0,2,0,1,9
U006,55,10,23,49.87,0,0,0,6
U006,56,11,18,69.99,0,0,0,11
U006,57,9,21,93.25,1,0,0,3
U006,58,8,31,44.42,0,0,0,13
U006,59,10,24,76.4,0,0,0,8
U006,60,10,38,69.14,0,0,1,13
U007,1,7,10,88.73,1,0,1,7
U007,2,8,25,54.65,2,0,0,1
U007,3,12,31,96.62,0,0,0,7
U007,4,7,19,42.95,0,0,0,9
U007,5,8,23,45.8,1,0,0,8
U007,6,9,6,68.84,0,0,0,9
U007,7,10,12,49.87,0,0,1,5
U007,8,8,19,30.78,0,0,1,6
U007,9,7,8,67.17,1,0,0,7
U007,10,9,3,92.35,4,0,0,3
U007,11,8,18,64.86,1,0,0,1
U007,12,8,15,63.56,1,0,0,6
U007,13,9,10,53.98,1,0,0,9
U007,14,11,10,84.55,0,0,0,6
U007,15,10,33,60.01,0,1,1,10
U007,16,8,22,59.72,3,0,1,7
U007,17,12,25,75.99,2,0,0,6
U007,18,7,5,77.85,1,0,0,11
U007,19,8,12,37.63,0,0,1,6
U007,20,10,13,67.65,0,0,0,4
U007,21,6,15,94.44,1,0,0,6
U007,22,7,32,76.95,2,0,0,7
U007,23,7,24,55.02,0,0,1,6
U007,24,9,32,61.74,0,0,0,1
U007,25,10,16,82.02,1,0,1,5
U007,26,10,18,37.39,0,0,1,4
U007,27,7,39,85.88,0,0,0,10
U007,28,6,20,61.69,1,1,0,9
U007,29,8,34,71.21,0,0,0,3
U007,30,10,19,29.6,1,0,0,7
U007,31,6,0,55.8,1,0,1,9
U007,32,6,11,65.61,1,1,0,9
U007,33,7,12,65.15,1,0,0,8
U007,34,7,13,72.03,1,0,0,8
U007,35,6,26,68.86,1,0,0,9
U007,36,8,7,89.23,1,0,0,5
U007,37,8,11,44.35,2,0,0,7
U007,38,12,15,66.14,1,0,0,10
U007,39,12,18,87.57,2,0,1,6
U007,40,8,26,73.89,0,0,0,7
U007,41,6,16,34.9,0,0,0,10
U007,42,11,8,82.7,2,0,0,4
U007,43,8,23,87.92,1,0,1,11
U007,44,7,20,69.59,1,0,0,1
U007,45,11,10,49.85,0,0,0,7
U007,46,8,9,70.21,2,0,0,6
U007,47,9,9,57.21,1,1,0,7
U007,48,9,14,36.23,3,0,0,13
U007,49,7,24,59.0,1,1,0,10
U007,50,10,19,51.88,2,0,0,5
U007,51,6,9,73.05,0,0,0,5
U007,52,7,0,43.78,1,0,0,8
U007,53,9,13,50.37,1,0,0,3
U007,54,9,10,48.24,1,0,2,10
U007,55,8,0,74.34,2,0,1,4
U007,56,10,8,84.13,0,0,1,4
U007,57,10,26,78.8,0,0,0,8
U007,58,6,0,73.6,2,0,1,1
U007,59,9,27,48.14,2,0,1,5
U007,60,10,19,80.79,1,0,0,4
U008,1,6,38,58.86,0,0,0,1
U008,2,12,27,51.25,2,1,0,1
U008,3,8,1,45.33,1,1,0,6
U008,4,7,39,32.46,0,0,1,5
U008,5,9,30,47.99,0,0,0,15
U008,6,10,19,35.02,2,0,0,3
U008,7,10,24,55.51,1,0,0,8
U008,8,10,10,62.4,0,0,0,11
U008,9,10,39,37.29,0,0,1,3
U008,10,9,13,58.43,0,1,0,7
U008,11,7,14,48.14,2,0,0,3
U008,12,7,21,21.99,1,0,0,8
U008,13,8,15,47.46,1,0,1,5
U008,14,8,30,38.02,1,0,0,0
U008,15,10,12,50.44,1,0,0,0
U008,16,9,31,56.79,0,1,0,10
U008,17,13,11,43.5,0,0,0,6
U008,18,14,15,37.59,0,0,0,5
U008,19,6,23,61.1,0,0,0,6
U008,20,7,11,57.88,2,0,0,5
U008,21,12,8,31.44,1,0,0,4
U008,22,8,19,57.04,1,0,0,8
U008,23,8,36,55.99,0,0,0,4
U008,24,9,24,45.66,1,0,0,2
U008,25,7,5,26.3,1,0,0,0
U008,26,9,26,77.2,1,0,0,2
U008,27,9,12,53.92,0,1,0,2
U008,28,11,23,25.67,2,0,0,8
U008,29,11,22,28.9,0,0,0,1
U008,30,8,22,62.28,0,0,0,6
U008,31,10,26,50.19,0,0,1,4
U008,32,10,0,56.03,1,0,0,5
U008,33,8,29,45.74,1,0,0,0
U008,34,11,23,32.32,1,1,0,2
U008,35,10,32,61.55,1,0,0,2
U008,36,10,33,54.11,1,0,0,4
U008,37,11,39,64.66,1,0,0,7
U008,38,9,13,43.19,0,0,0,3
U008,39,10,0,19.3,2,0,0,3
U008,40,12,39,49.72,3,1,0,8
U008,41,13,26,41.98,0,0,0,8
U008,42,9,11,39.23,3,0,1,0
U008,43,11,1,61.69,1,0,0,10
U008,44,9,26,36.84,1,0,0,9
U008,45,10,16,53.98,1,0,0,12
U008,46,7,9,53.88,2,0,0,3
U008,47,10,20,53.85,1,0,0,2
U008,48,11,24,51.92,0,0,0,5
U008,49,11,0,53.88,4,0,0,0
U008,50,7,18,64.27,1,0,0,0
U008,51,12,38,46.6,1,0,0,0
U008,52,11,15,28.37,1,0,0,6
U008,53,10,35,34.49,0,0,0,4
U008,54,6,22,47.82,0,0,0,4
U008,55,10,22,46.48,0,0,0,0
U008,56,10,0,47.38,0,0,0,5
U008,57,9,29,44.27,2,0,0,9
U008,58,8,14,40.28,1,0,0,2
U008,59,13,9,48.7,0,0,0,0
U008,60,12,32,46.55,1,0,0,8
U009,1,8,29,90.66,0,0,0,8
U009,2,9,30,59.86,1,0,0,10
U009,3,8,19,84.32,2,0,0,8
U009,4,10,29,81.61,0,0,0,9
U009,5,8,24,42.14,0,0,0,8
U009,6,9,12,66.14,1,0,0,7
U009,7,9,24,76.5,2,0,0,9
U009,8,9,17,77.49,0,0,1,7
U009,9,9,25,90.56,1,0,0,8
U009,10,9,37,76.06,1,0,0,7
U009,11,9,24,108.83,1,0,0,10
U009,12,10,28,59.65,2,0,0,10
U009,13,9,35,76.26,0,0,0,10
U009,14,9,16,135.71,1,0,0,9
U009,15,9,24,93.53,1,0,1,10
U009,16,9,16,85.13,1,0,0,9
U009,17,9,24,72.61,0,1,0,11
U009,18,9,24,54.92,1,0,1,5
U009,19,8,22,88.11,1,0,0,7
U009,20,9,26,94.03,0,0,0,10
U009,21,9,33,102.41,3,0,1,4
U009,22,8,19,93.65,0,0,0,10
U009,23,9,23,62.75,1,0,0,8
U009,24,10,28,81.38,1,0,0,7
U009,25,9,36,89.42,1,0,0,8
U009,26,9,11,89.66,0,1,0,7
U009,27,10,18,104.61,0,0,0,7
U009,28,9,13,69.79,0,0,1,4
U009,29,8,20,61.46,0,0,0,6
U009,30,9,16,87.41,0,0,0,11
U009,31,9,24,116.52,2,0,0,8
U009,32,9,23,62.78,0,0,0,6
U009,33,9,16,72.87,1,0,0,6
U009,34,8,25,65.65,0,0,0,8
U009,35,9,25,95.29,0,0,0,8
U009,36,9,23,69.56,1,0,0,11
U009,37,9,28,57.42,1,0,0,6
U009,38,10,25,63.32,0,0,0,7
U009,39,10,34,62.96,1,0,0,11
U009,40,9,25,110.78,0,0,0,6
U009,41,9,18,70.94,0,0,0,5
U009,42,9,21,75.81,2,0,1,7
U009,43,9,33,86.54,1,0,0,10
U009,44,9,26,111.41,0,0,0,7
U009,45,10,24,51.48,1,0,0,8
U009,46,9,21,71.54,0,0,0,2
U009,47,10,26,66.84,2,0,0,4
U009,48,9,26,100.06,2,0,0,10
U009,49,10,16,117.46,0,0,0,7
U009,50,9,33,69.89,1,0,0,6
U009,51,9,26,103.52,1,0,0,8
U009,52,8,21,99.39,1,0,0,6
U009,53,10,33,102.22,3,0,0,10
U009,54,9,23,104.74,1,0,0,7
U009,55,9,28,94.88,0,0,0,9
U009,56,9,35,59.13,0,1,0,9
U009,57,10,23,68.27,2,0,1,12
U009,58,9,25,90.13,1,0,0,4
U009,59,10,12,85.22,1,0,0,8
U009,60,10,33,149.69,0,0,0,6
U010,1,8,20,49.65,1,0,0,6
U010,2,7,21,14.06,2,1,0,7
U010,3,9,15,52.52,2,0,0,7
U010,4,8,19,26.89,1,0,0,8
U010,5,8,12,80.91,0,0,0,7
U010,6,8,13,43.16,1,1,0,9
U010,7,10,28,29.3,0,0,0,5
U010,8,10,21,67.82,1,0,0,5
U010,9,8,9,68.03,1,0,0,7
U010,10,9,14,64.85,0,1,1,12
U010,11,8,17,60.44,1,0,0,8
U010,12,8,25,58.02,2,0,0,9
U010,13,8,12,55.46,1,0,0,8
U010,14,8,27,62.32,0,0,0,5
U010,15,8,14,63.62,1,0,0,6
U010,16,8,13,53.44,0,0,1,7
U010,17,8,17,55.05,1,0,0,8
U010,18,9,10,62.92,2,0,0,6
U010,19,8,9,74.24,1,0,0,6
U010,20,9,11,80.61,1,0,0,5
U010,21,8,14,28.64,1,0,0,7
U010,22,9,18,57.63,1,0,0,5
U010,23,9,0,46.81,1,0,0,8
U010,24,9,16,63.35,2,0,0,10
U010,25,7,13,37.92,1,0,1,7
U010,26,9,24,17.79,1,0,0,8
U010,27,8,15,70.1,1,0,0,6
U010,28,9,15,27.58,2,0,0,7
U010,29,9,13,36.44,0,1,0,6
U010,30,8,9,27.95,0,0,0,11
U010,31,9,18,75.56,1,0,1,3
U010,32,9,6,0.0,0,0,0,8
U010,33,7,20,39.57,4,0,0,4
U010,34,9,0,36.25,0,0,2,5
U010,35,9,17,46.1,0,0,0,7
U010,36,9,5,8.06,0,0,0,9
U010,37,10,16,56.47,1,0,1,5
U010,38,9,12,44.71,1,0,0,5
U010,39,10,16,18.16,2,0,0,9
U010,40,7,17,0.0,3,0,1,8
U010,41,9,18,81.94,1,0,0,8
U010,42,9,14,65.93,3,0,0,7
U010,43,10,18,69.24,0,1,0,6
U010,44,7,9,14.86,0,0,1,7
U010,45,10,7,73.27,1,0,0,9
U010,46,9,12,36.85,2,1,0,9
U010,47,7,15,74.14,1,0,0,5
U010,48,8,12,82.28,0,0,0,6
U010,49,8,21,48.37,0,0,0,6
U010,50,9,17,77.59,0,0,0,5
U010,51,8,16,74.39,2,0,0,5
U010,52,8,5,69.1,3,0,0,9
U010,53,9,18,60.67,1,0,0,6
U010,54,9,5,55.11,1,0,0,9
U010,55,8,6,34.72,1,0,0,6
U010,56,8,16,40.91,2,0,0,8
U010,57,9,11,57.06,1,0,0,10
U010,58,9,14,49.69,0,0,0,6
U010,59,9,20,8.43,0,0,1,11
U010,60,8,18,40.83,0,0,1,7
U011,1,10,35,90.99,0,0,0,8
